Уровень образования;Кафедра;Название программы;Вид обучения;Форма обучения;Даты проведения;Количество часов;Кто может учиться;Подать заявку
Высшее медицинское;Кафедра фармакологии и фармации;Управление и экономика фармации;повышение квалификации;Очная;01.03.2027-27.03.2027<br>01.11.2027-30.11.2027;144;Управление и экономика фармации;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/1abfd609-7dd2-6ca9-2fe3-d09d5f48410d
Высшее медицинское;Кафедра фтизиопульмонологии;Фтизиатрия;профессиональная переподготовка;Очная;06.09.2027-20.11.2027;576;В соответствии с приказом Минздрава России №206н от 02.05.2023<br>Проверить соответствие онлайн: <a href="https://cdpo29.ru/choosinghighereducation" target="_blank">перейти</a><br>Проверить соответствие в ТГ: <a href="https://t.me/MedSpecialtyVOInfoBot" target="_blank">бот</a><br>Проверить соответствие в МАХ: <a href="https://max.ru/id290128329338_bot" target="_blank">бот</a>;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/a61b42ac-568b-df48-c873-2e616c95d0f2
Высшее медицинское;Кафедра фтизиопульмонологии;Новые подходы к лечению активного и латентного туберкулеза;повышение квалификации;Очная;15.06.2027-18.06.2027;36;Фтизиатрия;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/1b5a4eb6-7091-234b-eb45-40334b751f51
Высшее медицинское;Кафедра фтизиопульмонологии;Фтизиатрия;повышение квалификации;Очная;15.06.2027-02.07.2027;144;Фтизиатрия;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/12e9a6c3-b408-1d7c-b80c-2e4deea4ff10
Среднее профессиональное;Кафедра фтизиопульмонологии;Иммунологическая профилактика туберкулеза и иммунологическая диагностика латентной туберкулезной инфекции;повышение квалификации;Очная;12.04.2027-13.04.2027<br>11.10.2027-12.10.2027;18;Сестринское дело, Акушерское дело, Лечебное дело, Сестринское дело в педиатрии;Подать заявку link=https://nmfo-spo.edu.rosminzdrav.ru/#/user-account/view-dpp/7152cd85-1926-c117-2414-b9e985705708
Высшее медицинское;Кафедра хирургии;Диагностика и лечение осложненных форм желчнокаменной болезни;повышение квалификации;Очная;18.01.2027-23.01.2027<br>24.05.2027-29.05.2027;36;Хирургия, Эндоскопия;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/f78a9247-596a-4618-9b2b-4e65d0070aa2
Высшее медицинское;Кафедра хирургии;Диагностическая лапароскопия;повышение квалификации;Очная;01.03.2027-06.03.2027<br>20.12.2027-25.12.2027;36;Хирургия, Эндоскопия;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/bfcd70de-d811-41a1-97b0-c04020fe4a6f
Высшее медицинское;Кафедра хирургии;Диагностические и лечебные пункционно-дренажные вмешательства в хирургии;повышение квалификации;Очная;05.04.2027-10.04.2027<br>19.07.2027-24.07.2027<br>29.11.2027-04.12.2027;36;Хирургия, Сердечно-сосудистая хирургия, Торакальная хирургия, Ультразвуковая диагностика, Урология;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/ca37c532-9094-4019-9c04-267dbb4af0c4
Высшее медицинское;Кафедра хирургии;Неотложная торакальная хирургия;повышение квалификации;Очная;13.04.2027-17.04.2027;36;Торакальная хирургия, Травматология и ортопедия, Хирургия;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/07032340-469c-a92b-c495-da2631694268
Высшее медицинское;Кафедра хирургии;Урология;повышение квалификации;Очная;29.11.2027-25.12.2027;144;Урология;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/4c453b21-9f51-619f-fceb-bdfe77a7386a
Высшее медицинское;Кафедра хирургии;Хирургическое лечение послеоперационных вентральных грыж;повышение квалификации;Очная;21.06.2027-26.06.2027<br>06.12.2027-11.12.2027;36;Хирургия;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/e648f0e6-1ed0-41f8-b5d0-57d58036ab7c
Высшее медицинское;Кафедра хирургии;Хирургия;повышение квалификации;Очная;01.02.2027-01.03.2027<br>13.09.2027-09.10.2027;144;Хирургия;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/66dac65d-ee8a-28d1-2da0-7116bc7b5f95
Высшее медицинское;Кафедра хирургии;Диагностика мужского бесплодия;повышение квалификации;Очная;21.06.2027-23.06.2027;18;Хирургия;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/09b2aac5-d29b-5129-0877-4e256ee2c6cf
Высшее медицинское;Кафедра челюстно-лицевой хирургии и хирургической стоматологии;Дентальная имплантация;повышение квалификации;Очная;05.04.2027-10.04.2027;36;Стоматология хирургическая, Челюстно-лицевая хирургия;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/5e446601-8da9-8ee6-fb26-930e7bc3400b
Высшее медицинское;Кафедра челюстно-лицевой хирургии и хирургической стоматологии;Стоматология хирургическая;повышение квалификации;Очная;15.11.2027-11.12.2027;144;Стоматология хирургическая;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/3137f06e-eef9-c8da-9c1e-1d800935df4e
Высшее медицинское;Кафедра челюстно-лицевой хирургии и хирургической стоматологии;Травма челюстно-лицевой области;повышение квалификации;Очная;05.04.2027-10.04.2027;36;Челюстно-лицевая хирургия;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/ac9eff99-1003-025f-f248-267cd5bbff65
Высшее медицинское;Кафедра челюстно-лицевой хирургии и хирургической стоматологии;Челюстно-лицевая хирургия;повышение квалификации;Очная;15.11.2027-11.12.2027;144;Челюстно-лицевая хирургия;Подать заявку link=https://nmfo-vo.edu.rosminzdrav.ru/#/user-account/view-dpp/3703ad1d-5559-bd9d-25aa-3498efce199a
